"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"126",0,0,0,0,0,0,0,0,0,0,0
"127",0,2,0,1,1,0,0,1,0,1,1
"128",1,2,0,0,1,0,1,1,1,1,0
"129",0,0,0,0,0,0,0,0,0,0,0
"130",0,0,0,0,0,0,0,1,1,0,-1
"131",0,1,0,0,1,0,0,1,0,1,1
"132",0,1,0,1,0,0,0,0,0,2,2
"133",0,2,0,1,2,0,1,1,0,2,2
"134",0,1,0,0,2,0,1,0,0,2,2
"135",0,0,0,0,0,0,0,0,0,0,0
"136",0,3,0,0,1,1,1,2,3,1,-2
"137",3,2,2,2,3,2,2,2,3,3,0
"138",0,0,0,0,1,0,0,0,0,1,1
"139",0,1,0,0,0,0,0,1,0,1,1
"140",0,0,0,0,0,0,0,0,0,0,0
"141",1,0,0,0,0,0,0,0,1,0,-1
"142",0,0,0,0,0,0,0,0,0,0,0
"143",0,0,0,0,0,0,0,0,0,0,0
"144",0,0,0,0,0,0,0,0,0,1,1
"145",0,0,1,0,0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0,0,0,0,0
"147",0,0,0,1,2,0,0,0,0,3,3
"148",0,1,0,0,1,0,1,1,0,1,1
"149",0,0,0,0,0,0,0,0,0,0,0
"150",1,1,0,0,2,0,1,1,0,3,3
"151",1,0,0,0,0,0,0,0,1,0,-1
"152",0,1,0,0,0,0,0,1,1,1,0
"153",0,0,0,0,0,0,0,0,0,0,0
"154",0,2,0,1,2,2,0,2,1,3,2
"155",0,0,0,0,0,0,0,0,0,0,0
"156",1,2,0,1,3,0,1,2,0,3,3
"157",0,1,0,0,1,0,1,1,0,4,4
"158",0,0,0,0,0,0,0,0,0,0,0
"159",0,1,0,0,1,0,1,1,0,1,1
"160",0,0,0,0,0,0,0,0,0,0,0
"161",0,1,0,1,1,0,0,2,1,5,4
"162",0,3,0,1,1,0,1,1,0,2,2
"163",0,0,0,0,0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0,0,0,0,0
"165",0,2,0,0,2,0,1,3,0,3,3
"166",0,0,0,0,0,1,0,0,2,1,-1
"167",3,1,1,3,0,4,0,2,4,3,-1
"168",0,0,0,0,0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0,0,0,0,0
"170",1,2,0,1,2,0,1,1,0,2,2
"171",1,0,0,0,0,0,0,0,1,1,0
"172",1,0,1,0,1,1,0,0,2,3,1
"173",0,0,0,0,1,0,0,1,0,2,2
"174",0,0,0,0,0,0,0,0,0,0,0
"175",0,0,0,0,0,0,0,0,0,0,0
"176",0,0,0,0,0,0,0,0,0,0,0
"177",0,2,0,0,1,0,1,2,0,3,3
"178",1,3,0,0,1,0,1,2,1,2,1
"179",0,0,0,0,0,0,0,0,0,0,0
"180",0,0,0,0,0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0,0,0,0,0
"182",0,1,0,0,1,0,1,0,0,1,1
"183",0,0,0,0,1,0,0,0,0,1,1
"184",0,0,0,0,0,0,0,0,0,0,0
"185",0,0,0,0,0,0,0,0,0,1,1
"186",0,1,0,0,0,0,0,0,0,0,0
"187",0,0,0,0,0,0,0,0,0,0,0
"188",0,0,0,0,0,0,0,0,0,0,0
"189",0,1,0,0,1,1,1,1,0,1,1
"190",0,1,0,0,1,0,0,1,1,1,0
"191",1,0,1,1,0,1,0,2,3,1,-2
"192",0,0,0,0,0,0,0,0,0,0,0
"193",0,0,0,0,1,0,0,0,0,1,1
"194",1,1,0,0,1,0,1,1,0,1,1
"195",0,0,0,0,1,0,0,0,0,1,1
"196",0,0,0,1,0,0,0,0,1,0,-1
"197",0,1,0,1,0,1,0,0,1,1,0
"198",1,2,0,0,1,0,1,2,1,2,1
"199",0,0,0,0,0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0,0,0,0,0
"201",0,0,0,0,0,0,0,0,0,0,0
"202",0,0,0,0,0,0,0,0,0,0,0
"203",0,2,0,0,1,0,1,0,0,1,1
"204",1,1,0,0,1,0,1,1,0,1,1
"205",0,2,0,1,1,0,1,1,0,1,1
"206",0,0,0,0,1,0,0,1,0,2,2
"207",0,1,0,0,3,0,1,1,0,3,3
"208",0,1,0,0,1,0,1,2,0,2,2
"209",0,0,1,0,0,0,1,1,0,0,0
"210",0,0,0,0,0,0,0,0,0,0,0
"211",0,0,0,0,0,0,0,0,0,0,0
"212",0,0,0,0,0,0,0,0,0,0,0
"213",0,0,0,0,0,0,0,0,0,0,0
"214",0,1,0,0,2,0,1,0,0,2,2
"215",0,1,0,0,1,0,1,1,0,1,1
"216",0,0,0,0,0,0,0,0,0,0,0
"217",0,0,0,0,0,0,0,0,0,0,0
"218",2,0,1,0,1,1,0,1,2,1,-1
"219",0,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,1,0,1,1
"221",1,0,0,1,0,1,0,0,1,0,-1
"222",0,0,0,0,0,0,0,0,0,0,0
"223",0,1,0,1,1,0,0,0,0,1,1
"224",1,3,0,1,2,0,1,5,1,4,3
"225",0,0,0,0,0,0,0,0,0,0,0
"226",0,0,0,0,0,0,0,1,0,1,1
"227",0,0,1,0,0,0,0,0,0,0,0
"228",0,0,0,0,1,0,0,1,0,1,1
"229",1,2,1,1,1,1,0,1,1,1,0
"230",1,1,0,0,1,0,1,1,1,1,0
"231",0,1,0,0,1,0,0,1,0,1,1
"232",1,0,1,1,0,2,0,0,2,1,-1
"233",1,3,1,1,0,1,0,1,3,0,-3
"234",1,0,1,0,0,1,0,0,1,1,0
"235",0,0,0,0,0,0,0,0,0,0,0
"236",0,0,1,0,0,0,0,0,0,0,0
"237",0,2,0,1,3,0,1,1,1,4,3
"238",0,1,0,0,2,0,1,0,0,2,2
"239",1,1,0,0,1,0,1,1,0,1,1
"240",1,0,2,1,0,0,1,1,2,2,0
"241",0,0,0,0,0,0,0,0,0,0,0
"242",0,0,0,0,0,0,0,0,0,0,0
"243",0,1,0,0,0,0,0,0,0,1,1
"244",0,0,0,0,1,0,0,0,0,2,2
"245",0,0,0,0,0,0,0,0,0,0,0
"246",0,0,0,0,0,0,0,0,0,0,0
"247",0,0,0,0,0,0,0,0,0,0,0
"248",1,0,1,1,0,1,0,0,1,0,-1
"249",0,0,0,0,0,0,0,0,0,0,0
"250",1,2,0,0,1,0,0,2,1,2,1
"251",0,0,0,0,0,0,0,1,0,3,3
"252",1,1,0,0,1,0,0,2,1,3,2
"253",0,0,0,0,0,0,0,0,0,0,0
"254",0,4,0,1,3,0,1,2,0,4,4
"255",0,0,0,0,0,0,0,1,0,1,1
"256",0,0,0,0,0,0,0,0,0,1,1
"257",1,2,0,1,2,0,0,3,3,4,1
"258",1,0,1,1,0,0,0,0,1,0,-1
"259",0,0,0,0,0,0,0,0,0,0,0
"260",0,0,0,0,0,0,0,0,0,0,0
"261",0,1,0,0,1,0,1,1,0,1,1
"262",0,0,0,0,1,0,0,0,0,1,1
"263",0,0,0,0,1,1,0,1,2,1,-1
"264",0,0,0,0,1,0,0,1,0,1,1
"265",0,0,0,0,0,0,0,0,0,0,0
"266",1,0,0,0,0,0,0,0,1,0,-1
"267",0,0,0,0,0,0,0,0,0,0,0
"268",1,2,1,2,1,3,0,1,3,2,-1
"269",0,1,0,0,1,0,1,1,0,2,2
"270",0,2,0,0,2,0,1,2,0,2,2
"271",0,0,0,0,0,0,0,0,0,1,1
"272",0,3,0,2,0,0,0,2,1,2,1
"273",0,3,0,0,3,0,1,2,0,3,3
"274",0,1,0,0,2,1,1,1,0,2,2
"275",0,0,0,0,0,0,0,0,0,0,0
"276",0,0,0,0,0,0,0,0,0,0,0
"277",0,0,0,0,1,0,0,1,0,2,2
"278",0,0,0,0,0,0,0,0,0,0,0
"279",0,1,0,0,1,0,1,1,0,1,1
"280",1,1,0,1,0,0,0,0,1,0,-1
"281",0,0,0,0,1,0,0,0,0,1,1
"282",0,1,0,0,0,0,0,0,0,0,0
"283",0,0,0,0,0,0,0,0,0,0,0
"284",0,2,0,0,3,0,2,0,0,3,3
"285",0,0,0,0,0,0,0,0,0,0,0
"286",0,1,0,0,1,0,1,0,0,1,1
"287",0,1,0,0,2,0,0,1,0,2,2
"288",0,0,0,0,0,0,0,0,1,1,0
"289",0,1,0,0,1,0,0,1,0,1,1
"290",0,0,0,0,1,0,0,1,0,1,1
"291",1,3,1,3,2,3,1,2,3,2,-1
"292",0,0,0,0,0,0,0,0,0,0,0
"293",0,0,0,1,0,1,0,0,1,0,-1
"294",0,2,0,0,1,0,1,1,0,2,2
"295",0,0,0,0,0,0,0,0,0,0,0
"296",0,0,0,0,0,0,0,1,0,1,1
"297",1,2,1,1,1,1,1,1,1,2,1
"298",0,0,0,0,0,0,0,0,0,0,0
"299",1,2,0,0,2,0,2,2,0,3,3
"300",1,1,0,1,0,0,0,0,1,0,-1
"301",0,0,0,0,1,0,0,3,1,2,1
